cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,3,8,4,0.5
8-month-olds,6,18,10,0.5555555555555556
9-month-olds,4,11,5,0.45454545454545453
10-month-olds,10,24,10,0.4166666666666667
11-month-olds,8,22,14,0.6363636363636364
Adults,14,46,28,0.6086956521739131
