cohort,social_verification_mean,object_face_linking_mean,mechanical_tracking_mean
10-month-olds,0.1703989703989704,0.3202917202917203,0.28264693264693264
11-month-olds,0.1725925925925926,0.4168518518518518,0.1148148148148148
7-month-olds,0.058333333333333334,0.19999999999999998,0.5083333333333334
8-month-olds,0.060000000000000005,0.1688888888888889,0.5333333333333333
9-month-olds,0.10128205128205128,0.49743589743589745,0.2064102564102564
Adults,0.2600595238095238,0.3696230158730159,0.2932440476190476
