cohort,from_aoi,to_aoi,mean_count
7-month-olds,man_face,man_body,0.3333333333333333
7-month-olds,man_face,woman_face,0.3333333333333333
7-month-olds,man_face,woman_body,0.0
7-month-olds,man_face,toy_present,1.0
7-month-olds,man_face,toy_location,0.0
7-month-olds,man_body,man_face,0.6666666666666666
7-month-olds,man_body,woman_face,0.0
7-month-olds,man_body,woman_body,0.16666666666666666
7-month-olds,man_body,toy_present,1.3333333333333333
7-month-olds,man_body,toy_location,0.0
7-month-olds,woman_face,man_face,0.3333333333333333
7-month-olds,woman_face,man_body,0.16666666666666666
7-month-olds,woman_face,woman_body,0.0
7-month-olds,woman_face,toy_present,0.0
7-month-olds,woman_face,toy_location,0.0
7-month-olds,woman_body,man_face,0.3333333333333333
7-month-olds,woman_body,man_body,0.16666666666666666
7-month-olds,woman_body,woman_face,0.0
7-month-olds,woman_body,toy_present,0.5
7-month-olds,woman_body,toy_location,0.0
7-month-olds,toy_present,man_face,0.6666666666666666
7-month-olds,toy_present,man_body,0.3333333333333333
7-month-olds,toy_present,woman_face,0.3333333333333333
7-month-olds,toy_present,woman_body,1.0
7-month-olds,toy_present,toy_location,0.0
7-month-olds,toy_location,man_face,0.0
7-month-olds,toy_location,man_body,0.0
7-month-olds,toy_location,woman_face,0.0
7-month-olds,toy_location,woman_body,0.0
7-month-olds,toy_location,toy_present,0.0
8-month-olds,man_face,man_body,0.6
8-month-olds,man_face,woman_face,0.2
8-month-olds,man_face,woman_body,0.0
8-month-olds,man_face,toy_present,0.8
8-month-olds,man_face,toy_location,0.0
8-month-olds,man_body,man_face,0.6
8-month-olds,man_body,woman_face,0.4
8-month-olds,man_body,woman_body,0.4
8-month-olds,man_body,toy_present,1.6
8-month-olds,man_body,toy_location,0.0
8-month-olds,woman_face,man_face,0.4
8-month-olds,woman_face,man_body,0.0
8-month-olds,woman_face,woman_body,0.2
8-month-olds,woman_face,toy_present,0.0
8-month-olds,woman_face,toy_location,0.0
8-month-olds,woman_body,man_face,0.0
8-month-olds,woman_body,man_body,0.4
8-month-olds,woman_body,woman_face,0.2
8-month-olds,woman_body,toy_present,1.2
8-month-olds,woman_body,toy_location,0.0
8-month-olds,toy_present,man_face,0.6
8-month-olds,toy_present,man_body,1.0
8-month-olds,toy_present,woman_face,0.4
8-month-olds,toy_present,woman_body,1.4
8-month-olds,toy_present,toy_location,0.0
8-month-olds,toy_location,man_face,0.0
8-month-olds,toy_location,man_body,0.0
8-month-olds,toy_location,woman_face,0.0
8-month-olds,toy_location,woman_body,0.0
8-month-olds,toy_location,toy_present,0.0
9-month-olds,man_face,man_body,0.6
9-month-olds,man_face,woman_face,1.0
9-month-olds,man_face,woman_body,0.0
9-month-olds,man_face,toy_present,2.4
9-month-olds,man_face,toy_location,0.0
9-month-olds,man_body,man_face,1.8
9-month-olds,man_body,woman_face,0.2
9-month-olds,man_body,woman_body,0.2
9-month-olds,man_body,toy_present,1.2
9-month-olds,man_body,toy_location,0.0
9-month-olds,woman_face,man_face,1.0
9-month-olds,woman_face,man_body,0.0
9-month-olds,woman_face,woman_body,0.0
9-month-olds,woman_face,toy_present,1.2
9-month-olds,woman_face,toy_location,0.0
9-month-olds,woman_body,man_face,0.0
9-month-olds,woman_body,man_body,0.0
9-month-olds,woman_body,woman_face,0.0
9-month-olds,woman_body,toy_present,0.4
9-month-olds,woman_body,toy_location,0.0
9-month-olds,toy_present,man_face,2.8
9-month-olds,toy_present,man_body,0.2
9-month-olds,toy_present,woman_face,1.2
9-month-olds,toy_present,woman_body,0.0
9-month-olds,toy_present,toy_location,0.0
9-month-olds,toy_location,man_face,0.0
9-month-olds,toy_location,man_body,0.0
9-month-olds,toy_location,woman_face,0.0
9-month-olds,toy_location,woman_body,0.0
9-month-olds,toy_location,toy_present,0.0
10-month-olds,man_face,man_body,0.2857142857142857
10-month-olds,man_face,woman_face,2.142857142857143
10-month-olds,man_face,woman_body,0.8571428571428571
10-month-olds,man_face,toy_present,2.4285714285714284
10-month-olds,man_face,toy_location,0.0
10-month-olds,man_body,man_face,2.0
10-month-olds,man_body,woman_face,0.0
10-month-olds,man_body,woman_body,0.2857142857142857
10-month-olds,man_body,toy_present,1.4285714285714286
10-month-olds,man_body,toy_location,0.0
10-month-olds,woman_face,man_face,1.7142857142857142
10-month-olds,woman_face,man_body,0.42857142857142855
10-month-olds,woman_face,woman_body,0.14285714285714285
10-month-olds,woman_face,toy_present,0.8571428571428571
10-month-olds,woman_face,toy_location,0.0
10-month-olds,woman_body,man_face,0.5714285714285714
10-month-olds,woman_body,man_body,0.2857142857142857
10-month-olds,woman_body,woman_face,0.0
10-month-olds,woman_body,toy_present,1.5714285714285714
10-month-olds,woman_body,toy_location,0.0
10-month-olds,toy_present,man_face,2.0
10-month-olds,toy_present,man_body,1.0
10-month-olds,toy_present,woman_face,1.0
10-month-olds,toy_present,woman_body,1.1428571428571428
10-month-olds,toy_present,toy_location,0.0
10-month-olds,toy_location,man_face,0.0
10-month-olds,toy_location,man_body,0.0
10-month-olds,toy_location,woman_face,0.0
10-month-olds,toy_location,woman_body,0.0
10-month-olds,toy_location,toy_present,0.0
11-month-olds,man_face,man_body,0.75
11-month-olds,man_face,woman_face,2.25
11-month-olds,man_face,woman_body,0.5
11-month-olds,man_face,toy_present,1.5
11-month-olds,man_face,toy_location,0.0
11-month-olds,man_body,man_face,1.75
11-month-olds,man_body,woman_face,0.25
11-month-olds,man_body,woman_body,0.5
11-month-olds,man_body,toy_present,0.75
11-month-olds,man_body,toy_location,0.0
11-month-olds,woman_face,man_face,1.25
11-month-olds,woman_face,man_body,0.5
11-month-olds,woman_face,woman_body,0.25
11-month-olds,woman_face,toy_present,2.0
11-month-olds,woman_face,toy_location,0.0
11-month-olds,woman_body,man_face,0.0
11-month-olds,woman_body,man_body,0.25
11-month-olds,woman_body,woman_face,0.0
11-month-olds,woman_body,toy_present,0.75
11-month-olds,woman_body,toy_location,0.0
11-month-olds,toy_present,man_face,2.0
11-month-olds,toy_present,man_body,0.25
11-month-olds,toy_present,woman_face,1.0
11-month-olds,toy_present,woman_body,0.0
11-month-olds,toy_present,toy_location,0.0
11-month-olds,toy_location,man_face,0.0
11-month-olds,toy_location,man_body,0.0
11-month-olds,toy_location,woman_face,0.0
11-month-olds,toy_location,woman_body,0.0
11-month-olds,toy_location,toy_present,0.0
Adults,man_face,man_body,1.0
Adults,man_face,woman_face,7.25
Adults,man_face,woman_body,0.25
Adults,man_face,toy_present,3.5
Adults,man_face,toy_location,0.0
Adults,man_body,man_face,1.25
Adults,man_body,woman_face,0.0
Adults,man_body,woman_body,0.0
Adults,man_body,toy_present,3.75
Adults,man_body,toy_location,0.0
Adults,woman_face,man_face,4.5
Adults,woman_face,man_body,0.25
Adults,woman_face,woman_body,1.0
