cohort,agent_agent_attention_mean,agent_object_binding_mean,motion_tracking_mean
10-month-olds,0.17895752895752895,0.34371514371514367,0.26237666237666235
11-month-olds,0.20238095238095238,0.4034126984126984,0.15063492063492062
7-month-olds,0.058333333333333334,0.20357142857142854,0.5238095238095238
8-month-olds,0.060000000000000005,0.24666666666666665,0.5511111111111112
9-month-olds,0.14615384615384613,0.491025641025641,0.18717948717948715
Adults,0.2650297619047619,0.3783333333333333,0.2855059523809524
