cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,7,22,10,0.45454545454545453
8-month-olds,7,23,11,0.4782608695652174
9-month-olds,6,20,8,0.4
10-month-olds,10,31,15,0.4838709677419355
11-month-olds,8,26,15,0.5769230769230769
Adults,14,46,31,0.6739130434782609
