cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,7,21,10,0.47619047619047616
8-month-olds,8,28,8,0.2857142857142857
9-month-olds,9,31,17,0.5483870967741935
10-month-olds,11,40,15,0.375
11-month-olds,7,22,12,0.5454545454545454
Adults,14,45,30,0.6666666666666666
