cohort,social_verification_mean,object_face_linking_mean,mechanical_tracking_mean
10-month-olds,0.21015873015873016,0.3311375661375661,0.23748677248677247
11-month-olds,0.14786324786324787,0.42970085470085473,0.13247863247863248
7-month-olds,0.08166666666666667,0.27999999999999997,0.4616666666666666
8-month-olds,0.03076923076923077,0.1564102564102564,0.5769230769230769
9-month-olds,0.09074074074074073,0.5703703703703703,0.1685185185185185
Adults,0.2667277167277167,0.3791005291005291,0.2751221001221001
