cohort,mean_looked,trials
7-month-olds,0.6363636363636364,11
8-month-olds,0.16666666666666666,18
9-month-olds,0.6,25
10-month-olds,0.41379310344827586,29
11-month-olds,0.7894736842105263,19
Adults,0.7777777777777778,45
