cohort,mean_latency_frames,sem_latency_frames,mean_latency_ms,sem_latency_ms,mean_latency_seconds,sem_latency_seconds,trials
7-month-olds,78.85714285714286,6.867551623841094,2628.5714285714284,228.91838746136983,2.6285714285714286,0.22891838746136983,7
8-month-olds,92.3,4.786671309189948,3076.666666666667,159.55571030633158,3.0766666666666667,0.15955571030633162,10
9-month-olds,76.16666666666667,7.65133513139565,2538.888888888889,255.04450437985506,2.5388888888888888,0.25504450437985504,12
10-month-olds,74.78260869565217,5.659284065441162,2492.753623188406,188.64280218137208,2.4927536231884058,0.18864280218137208,23
11-month-olds,77.18181818181819,9.90391858335806,2572.7272727272725,330.1306194452686,2.5727272727272728,0.33013061944526867,11
Adults,62.84375,5.396218317212168,2094.7916666666665,179.87394390707226,2.0947916666666666,0.1798739439070723,32
