Event,Total_Frames,No_Signal_Frames,Percent_No_Signal
ugwo,31094,19837,63.79687399498295
ugw,32490,20430,62.880886426592795
uhwo,31725,19405,61.16627265563436
hwo,60939,33802,55.468583337435795
gwo,31171,15980,51.26559943537262
swo,35762,17666,49.39880319892623
f,27834,13368,48.02759215348135
uhw,28143,13246,47.066766158547416
hw,29335,13751,46.87574569626726
gw,29970,13960,46.57991324657991
sw,28332,10643,37.56529719045602
