cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,7,27,5,0.18518518518518517
8-month-olds,7,21,5,0.23809523809523808
9-month-olds,10,34,6,0.17647058823529413
10-month-olds,11,42,11,0.2619047619047619
11-month-olds,8,25,5,0.2
Adults,14,46,26,0.5652173913043478
