cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,8,28,10,0.35714285714285715
8-month-olds,7,26,12,0.46153846153846156
9-month-olds,10,33,9,0.2727272727272727
10-month-olds,11,38,16,0.42105263157894735
11-month-olds,8,29,15,0.5172413793103449
Adults,14,46,31,0.6739130434782609
