participant,group,path,total_trials,gw_baseline,gw_extra,gw_total,gwo_baseline,gwo_extra,gwo_total,hw_baseline,hw_extra,hw_total,hwo_baseline,hwo_extra,hwo_total,ugw_baseline,ugw_extra,ugw_total,ugwo_baseline,ugwo_extra,ugwo_total,uhw_baseline,uhw_extra,uhw_total,uhwo_baseline,uhwo_extra,uhwo_total,sw_baseline,sw_extra,sw_total,swo_baseline,swo_extra,swo_total,f_baseline,f_extra,f_total
Eight-0601-5801,child-gl,data\raw\child-gl\Eight-months-0601-5801gl.csv,10,1,8,9,3,4,7,3,2,5,4,6,10,1,4,5,3,3,6,3,0,3,2,3,5,3,2,5,3,3,6,1,9,10
Eleven-0101-141,child-gl,data\raw\child-gl\Eleven-months-0101-141gl.csv,8,1,2,3,3,0,3,3,0,3,4,4,8,1,2,3,3,0,3,3,0,3,2,1,3,3,1,4,3,0,3,1,2,3
Eleven-0101-342,child-gl,data\raw\child-gl\Eleven-months-0101-342gl.csv,10,1,2,3,3,0,3,3,0,3,4,6,10,1,3,4,3,5,8,3,0,3,2,2,4,3,0,3,3,1,4,1,7,8
Eleven-0201-209,child-gl,data\raw\child-gl\Eleven-months-0201-209gl.csv,6,1,2,3,3,0,3,3,0,3,4,2,6,1,2,3,3,0,3,3,0,3,2,1,3,3,0,3,3,1,4,1,2,3
Eleven-0202-5721,child-gl,data\raw\child-gl\Eleven-months-0202-5721gl.csv,8,1,3,4,3,5,8,3,1,4,4,4,8,1,3,4,3,1,4,3,0,3,2,2,4,3,0,3,3,0,3,1,2,3
Eleven-0301-372,child-gl,data\raw\child-gl\Eleven-months-0301-372gl.csv,14,1,3,4,3,5,8,3,1,4,4,5,9,1,11,12,3,5,8,3,6,9,2,12,14,3,2,5,3,0,3,1,3,4
Eleven-0301-418,child-gl,data\raw\child-gl\Eleven-months-0301-418gl.csv,8,1,2,3,3,0,3,3,1,4,4,4,8,1,2,3,3,1,4,3,0,3,2,1,3,3,1,4,3,0,3,1,2,3
Eleven-0301-5909,child-gl,data\raw\child-gl\Eleven-months-0301-5909gl.csv,10,1,3,4,3,2,5,3,3,6,4,6,10,1,2,3,3,3,6,3,0,3,2,2,4,3,1,4,3,0,3,1,2,3
Eleven-0501-837,child-gl,data\raw\child-gl\Eleven-months-0501-837gl.csv,8,1,3,4,3,0,3,3,5,8,4,3,7,1,5,6,3,2,5,3,0,3,2,3,5,3,1,4,3,1,4,1,4,5
Nine-0101-598,child-gl,data\raw\child-gl\Nine-months-0101-598gl.csv,6,1,2,3,3,1,4,3,0,3,4,2,6,1,2,3,3,0,3,3,0,3,2,1,3,3,0,3,3,0,3,1,2,3
