cohort,agent_agent_attention_mean,agent_object_binding_mean,motion_tracking_mean
10-month-olds,0.14174107142857142,0.34985119047619045,0.23430059523809524
11-month-olds,0.13076923076923078,0.41245421245421243,0.1622252747252747
7-month-olds,0.06961697722567287,0.24254658385093167,0.4232919254658385
8-month-olds,0.13266666666666665,0.2684761904761905,0.2782857142857143
9-month-olds,0.09347826086956522,0.41521739130434787,0.24855072463768116
Adults,0.36722222222222217,0.39092752926086255,0.05616402116402116
