cohort,strategy,mean,sem,n_trials
10-month-olds,Agent-Agent Attention,0.14174107142857142,0.04145932396637801,32
10-month-olds,Agent-Object Binding,0.34985119047619045,0.04154262553399105,32
10-month-olds,Motion Tracking,0.2343005952380952,0.050626273504640835,32
11-month-olds,Agent-Agent Attention,0.13076923076923075,0.041794085252941926,26
11-month-olds,Agent-Object Binding,0.41245421245421243,0.05779969074912392,26
11-month-olds,Motion Tracking,0.1622252747252747,0.03676011815561165,26
7-month-olds,Agent-Agent Attention,0.06961697722567287,0.045241430378041625,23
7-month-olds,Agent-Object Binding,0.24254658385093167,0.04809271860366018,23
7-month-olds,Motion Tracking,0.4232919254658385,0.06914489738771072,23
8-month-olds,Agent-Agent Attention,0.13266666666666665,0.03682390527904393,25
8-month-olds,Agent-Object Binding,0.2684761904761905,0.04940008201204401,25
8-month-olds,Motion Tracking,0.2782857142857143,0.05230935221883409,25
9-month-olds,Agent-Agent Attention,0.09347826086956522,0.047888429045039954,23
9-month-olds,Agent-Object Binding,0.41521739130434776,0.06405381263367402,23
9-month-olds,Motion Tracking,0.24855072463768108,0.051192552917144495,23
Adults,Agent-Agent Attention,0.36722222222222217,0.04626297914749831,45
Adults,Agent-Object Binding,0.3909275292608626,0.04267130567301896,45
Adults,Motion Tracking,0.05616402116402116,0.014974433013470456,45
