cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,7,23,8,0.34782608695652173
8-month-olds,7,25,11,0.44
9-month-olds,9,32,12,0.375
10-month-olds,11,39,23,0.5897435897435898
11-month-olds,7,21,14,0.6666666666666666
Adults,13,40,33,0.825
