cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,7,27,6,0.2222222222222222
8-month-olds,7,21,8,0.38095238095238093
9-month-olds,10,34,7,0.20588235294117646
10-month-olds,11,42,13,0.30952380952380953
11-month-olds,8,25,6,0.24
Adults,14,46,26,0.5652173913043478
