cohort,agent_agent_attention_mean,agent_object_binding_mean,motion_tracking_mean
10-month-olds,0.14017857142857143,0.3366071428571428,0.24092261904761902
11-month-olds,0.13663003663003662,0.41144688644688643,0.15009157509157509
7-month-olds,0.07624716553287982,0.3283446712018141,0.36439909297052153
8-month-olds,0.18333333333333332,0.32009523809523804,0.20971428571428571
9-month-olds,0.13043478260869565,0.3942028985507246,0.23695652173913045
Adults,0.38441558441558443,0.4207251082251082,0.05034271284271285
