cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,7,22,9,0.4090909090909091
8-month-olds,7,23,10,0.43478260869565216
9-month-olds,6,20,7,0.35
10-month-olds,10,31,14,0.45161290322580644
11-month-olds,8,26,15,0.5769230769230769
Adults,14,46,28,0.6086956521739131
