cohort,participants,total_trials,successful_trials,success_rate
7-month-olds,8,28,9,0.32142857142857145
8-month-olds,7,26,10,0.38461538461538464
9-month-olds,10,33,8,0.24242424242424243
10-month-olds,11,38,15,0.39473684210526316
11-month-olds,8,29,15,0.5172413793103449
Adults,14,46,28,0.6086956521739131
